일자,현재가
2009/06/30,250.95
2009/07/01,254
2009/07/02,252
2009/07/06,242.85
2009/07/07,240.5
2009/07/08,234.1
2009/07/09,235.75
2009/07/10,234.95
2009/07/13,235.15
2009/07/14,243.95
2009/07/15,248.4
2009/07/16,250.25
2009/07/17,249.6
2009/07/20,256
2009/07/21,257.6
2009/07/22,256.15
2009/07/23,259.85
2009/07/24,261.45
2009/07/27,263.9
2009/07/28,260
2009/07/29,255.5
2009/07/30,259.35
2009/07/31,264.6
2009/08/03,274
2009/08/04,280.9
2009/08/05,279.2
2009/08/06,272.2
2009/08/07,279.05
2009/08/10,276.6
2009/08/11,275.15
2009/08/12,273.35
2009/08/13,278.15
2009/08/14,277.25
2009/08/17,267.4
2009/08/18,274.45
2009/08/19,271.8
2009/08/20,275.25
2009/08/21,284.95
2009/08/24,285.35
2009/08/25,288.8
2009/08/26,285.9
2009/08/27,285.55
2009/08/28,290.6
2009/08/31,291.8
2009/09/01,288.15
2009/09/02,288.1
2009/09/03,293.2
2009/09/04,296
2009/09/07,296
2009/09/08,297.25
2009/09/09,295.05
2009/09/10,293
2009/09/11,294.5
2009/09/14,295.75
2009/09/15,298.2
2009/09/16,300.5
2009/09/17,305.75
2009/09/18,304.5
2009/09/21,299.15
2009/09/22,302.4
2009/09/23,297.65
2009/09/24,297.9
2009/09/25,294.9
2009/09/28,293.9
2009/09/29,289.05
2009/09/30,296.9
2009/10/01,292.95
2009/10/02,298
2009/10/05,302
2009/10/06,311
2009/10/07,315.7
2009/10/08,322.6
2009/10/09,323.75
2009/10/12,329.8
2009/10/13,329.8
2009/10/14,330.8
2009/10/15,328.15
2009/10/16,330.65
2009/10/19,334.4
2009/10/20,338.4
2009/10/21,341.5
2009/10/22,339.75
2009/10/23,339.45
2009/10/26,333.25
2009/10/27,330.55
2009/10/28,317.4
2009/10/29,328.3
2009/10/30,323.25
2009/11/02,325.2
2009/11/03,327.75
2009/11/04,328.8
2009/11/05,331.85
2009/11/06,330.7
2009/11/09,335.5
2009/11/10,333.75
2009/11/11,345.75
2009/11/12,349.75
2009/11/13,356.75
2009/11/16,376
2009/11/17,372
2009/11/18,374.15
2009/11/19,369.9
2009/11/20,364.35
2009/11/23,373.3
2009/11/24,369.25
2009/11/25,370.95
2009/11/26,366
2009/11/27,365.7
2009/11/30,363.55
2009/12/01,381.55
2009/12/02,387.7
2009/12/03,384.5
2009/12/04,379.3
2009/12/07,375.25
2009/12/08,375.35
2009/12/09,365.55
2009/12/10,365.1
2009/12/11,362.15
2009/12/14,368.3
2009/12/15,366.05
2009/12/16,373.15
2009/12/17,370
2009/12/18,367.9
2009/12/21,365.4
2009/12/22,354.25
2009/12/23,357.35
2009/12/24,389.65
2009/12/28,388.85
2009/12/29,388.85
2009/12/30,403
2010/01/04,421.4
2010/01/05,421.95
2010/01/06,427.2
2010/01/07,424.55
2010/01/08,425.15
2010/01/11,431.95
2010/01/12,425.8
2010/01/13,424.95
2010/01/14,443.05
2010/01/15,447.75
2010/01/18,459.5
2010/01/19,461.95
2010/01/20,462.05
2010/01/21,453.95
2010/01/22,440.1
2010/01/25,440
2010/01/26,427.55
2010/01/27,416.75
2010/01/28,413.35
2010/01/29,412.65
2010/02/01,428.55
2010/02/02,444.75
2010/02/03,436.8
2010/02/04,408.4
2010/02/05,398.25
2010/02/08,407.65
2010/02/09,416.6
2010/02/10,413.35
2010/02/11,418.95
2010/02/12,418.15
2010/02/15,421.5
2010/02/16,432.45
2010/02/17,438
2010/02/18,435.25
2010/02/19,442.35
2010/02/22,442.1
2010/02/23,434
2010/02/24,422.7
2010/02/25,423.3
2010/02/26,432.4
2010/03/01,436.5
2010/03/02,443.45
2010/03/03,449.5
2010/03/04,461.75
2010/03/05,476.7
2010/03/08,471.35
2010/03/09,469.3
2010/03/10,464.65
2010/03/11,461
2010/03/12,463.15
2010/03/15,460.65
2010/03/16,472.4
2010/03/17,478.85
2010/03/18,478.75
2010/03/19,468.5
2010/03/22,460.6
2010/03/23,464.55
2010/03/24,453.9
2010/03/25,452.6
2010/03/26,455.3
2010/03/29,475
2010/03/30,470.35
2010/03/31,479.95
2010/04/01,491.35
2010/04/05,508
2010/04/06,508.5
2010/04/07,512.35
2010/04/08,503.5
2010/04/09,513.6
2010/04/12,524.15
2010/04/13,521.8
2010/04/14,548
2010/04/15,545.9
2010/04/16,531.85
2010/04/19,533.7
2010/04/20,551.4
2010/04/21,568.25
2010/04/22,565.1
2010/04/23,563.2
2010/04/26,566.4
2010/04/27,548.95
2010/04/28,541.9
2010/04/29,549
2010/04/30,555.75
2010/05/03,548.25
2010/05/04,515.25
2010/05/05,508.55
2010/05/06,514.1
2010/05/07,510.2
2010/05/10,524.5
2010/05/11,532.2
2010/05/12,547.45
2010/05/13,543.3
2010/05/14,527.9
2010/05/17,503.6
2010/05/18,507
2010/05/19,459.7
2010/05/20,408.95
2010/05/21,439.45
2010/05/24,453.55
2010/05/25,430.4
2010/05/26,446.35
2010/05/27,462.25
2010/05/28,461.85
2010/05/31,466.3
2010/06/01,460.75
2010/06/02,451.4
2010/06/03,449.6
2010/06/04,431
2010/06/07,430.35
2010/06/08,442.15
2010/06/09,455.25
2010/06/10,449.3
2010/06/11,448.55
2010/06/14,462.6
2010/06/15,475.55
2010/06/16,475.2
2010/06/17,481.25
2010/06/18,491.4
2010/06/21,495.45
2010/06/22,489.95
2010/06/23,474.35
2010/06/24,470
2010/06/25,477.9
2010/06/28,472.45
2010/06/29,454.4
2010/06/30,444.4
2010/07/01,429.05
2010/07/02,426.9
2010/07/05,428.2
2010/07/06,440.4
2010/07/07,442.35
2010/07/08,444.4
2010/07/09,456.95
2010/07/12,454.15
2010/07/13,469.15
2010/07/14,465.8
2010/07/15,467.2
2010/07/16,448.6
2010/07/19,443.9
2010/07/20,451.05
2010/07/21,452.15
2010/07/22,456.9
2010/07/23,466.75
2010/07/26,475
2010/07/27,466.55
2010/07/28,468.75
2010/07/29,491.2
2010/07/30,500
2010/08/02,515.85
2010/08/03,506.45
2010/08/04,500.15
2010/08/05,496.05
2010/08/06,487.6
2010/08/09,479.65
2010/08/10,470.6
2010/08/11,464.7
2010/08/12,471.05
2010/08/13,477.25
2010/08/16,485.75
2010/08/17,497.3
2010/08/18,490.4
2010/08/19,485.65
2010/08/20,476.2
2010/08/23,483.7
2010/08/24,484.25
2010/08/25,491.55
2010/08/26,502.5
2010/08/27,503.05
2010/08/30,497.9
2010/08/31,500.4
2010/09/01,518.35
2010/09/02,523.45
2010/09/03,529.05
2010/09/06,528.55
2010/09/07,521.6
